,gender,current_country,cc_status,education_level,age_groups,smoking_status,level of drinking_status,level of bmi,countries_visited,continent_of_birth,hash,postcode_split
80,F,United Kingdom,0,other,30-40,heavy smokers,high,underweight,35-50,Europe,a68ccd43613e9763c48bc3be3491b0da4d67ba66,G2
81,M,United Kingdom,0,secondary,50-60,heavy smokers,moderate,healthy,19-34,South America,a4b83b0149691f41317dabb061967eb8e2e723c6,NP0
82,M,United Kingdom,0,secondary,50-60,heavy smokers,low,underweight,35-50,Europe,aca06dcfb0c60121d525a54a4fb0c02fb61ee53b,E80
83,F,United Kingdom,1,secondary,40-50,heavy smokers,high,overweight,35-50,Asia,31304b3b88ed90ab64206d7c62fdff9ae3c98484,AL9
84,M,United Kingdom,0,secondary,<20,heavy smokers,moderate,healthy,35-50,North America,4e0db8c9047f8fecb9334e204a3d32bc3ba71321,PA68
85,F,United Kingdom,1,secondary,20-30,intermediate smokers,moderate,underweight,2-18,Africa,ecf2745ce695a67bbd2724d5716fedf49cbf49bb,BR0H
86,F,United Kingdom,0,secondary,40-50,intermediate smokers,high,healthy,35-50,Africa,c7e283a8be0f219df1c5c73b8d3893b035bb7ac4,B2
87,F,United Kingdom,0,bachelor,50-60,intermediate smokers,moderate,underweight,2-18,Oceania,bce3c9641688b7cd31e4c38f307d1077bf6bbd04,G8
88,F,United Kingdom,0,secondary,50-60,intermediate smokers,low,overweight,2-18,Europe,bcb00feb206bb2d0701c2e1c129158fe6a4b0495,JE9R
89,F,United Kingdom,0,phD,60-70,heavy smokers,high,underweight,35-50,Africa,a91cc53e9c5e5f603daabab2c3264ebf40a39d7c,S6
90,M,United Kingdom,0,secondary,20-30,intermediate smokers,low,underweight,35-50,Asia,4a8dbc95da5ef1394f9076e404adc0444084fc3d,G3K
91,F,United Kingdom,0,secondary,50-60,heavy smokers,low,underweight,35-50,Africa,6e21ee36f4bb5febe48003cc8854b3b942b3c550,PA1
92,F,United Kingdom,0,secondary,60-70,heavy smokers,moderate,overweight,35-50,North America,50527d4eb9ecabd582ae8bfe287bd149e70a91eb,CT1
93,M,United Kingdom,0,secondary,50-60,heavy smokers,low,overweight,35-50,Asia,21ffb14d80a7d325634c280c07dc927ae284f2d0,TQ8
94,F,United Kingdom,0,bachelor,50-60,light smokers,high,healthy,35-50,Oceania,2f2525887d2719efd15609425da7cad675a8d39b,L7
95,F,United Kingdom,0,secondary,30-40,heavy smokers,high,overweight,2-18,Asia,83d3c26682d1e67829f5cf644e941cbf965d5b2d,EC56
96,F,United Kingdom,1,secondary,<20,heavy smokers,moderate,healthy,19-34,Europe,fcad4a14569e3922792423677924b084b03d59f6,G95
97,M,United Kingdom,0,bachelor,30-40,heavy smokers,high,healthy,2-18,Europe,525133478cc99629b43eeb67291ed81d4eb88759,TW56
98,F,United Kingdom,0,phD,20-30,intermediate smokers,high,overweight,19-34,Africa,66ead73ef2af05e475d36f8fbb55f67ee522c7a2,L0A
99,M,United Kingdom,0,secondary,40-50,heavy smokers,high,healthy,19-34,Africa,dc32ed79e63b5edd994ea2140997b2b95a01935c,G6
100,F,United Kingdom,0,secondary,30-40,intermediate smokers,high,healthy,2-18,Asia,46536d384226bef42dbd8c5488bd8f7d24301a4f,N3S
101,M,United Kingdom,0,secondary,40-50,heavy smokers,high,underweight,2-18,South America,ef5f56ac0125cde52f5c59a375f3c063459754b3,WR7E
102,F,United Kingdom,0,masters,60-70,heavy smokers,high,overweight,35-50,Africa,c1426b135eab7f1068a0a6534f3c1b65894cc1ef,DL73
103,M,United Kingdom,0,secondary,50-60,intermediate smokers,low,underweight,35-50,North America,7016799187907b848f325d32f46c01c6d2263e3f,G9D
104,M,United Kingdom,0,bachelor,30-40,light smokers,low,underweight,19-34,Europe,bc93f5cea4bede619669f1645393a10283f728a7,HP41
105,M,United Kingdom,0,secondary,<20,heavy smokers,low,underweight,2-18,North America,0591af604119fb09c4784bc138d6617ad5e48275,NE6
106,M,United Kingdom,0,bachelor,50-60,intermediate smokers,high,healthy,2-18,Africa,b91547b30bd5377ab4a07996795a8ca492ef4fa2,DD04
107,M,United Kingdom,0,bachelor,40-50,heavy smokers,low,healthy,2-18,Africa,76126115805f7829ce1eee32bf2cc6091af65406,W30
108,F,United Kingdom,0,bachelor,60-70,intermediate smokers,low,overweight,35-50,Europe,be81c26936bf3404f923654661bcf6846b5fcc50,HP4
109,F,United Kingdom,0,secondary,50-60,heavy smokers,high,healthy,35-50,Europe,24357fa1c86f09b312a9b7c96a1681ff8a17fd72,M17
110,M,United Kingdom,0,other,50-60,heavy smokers,low,underweight,2-18,Africa,65898b4106ba2cee543bdb8a1ffdfa8325b4b05a,EN3R
111,F,United Kingdom,0,secondary,50-60,heavy smokers,low,underweight,2-18,North America,9892b49a8323038a7791b21fc0465da616eeeccf,TA7
112,M,United Kingdom,1,secondary,50-60,light smokers,moderate,overweight,19-34,Europe,441184d8401b7a86b002c18291092e5b223b3e9c,FY8
113,M,United Kingdom,0,masters,60-70,heavy smokers,moderate,overweight,35-50,Europe,fe7b8e3fb3ae9d40c782077bdc99373bab822a06,E8U
114,M,United Kingdom,0,other,60-70,heavy smokers,low,overweight,35-50,North America,ce16374307ad8385d16e6f261691bcac8e145927,M63
115,M,United Kingdom,0,bachelor,50-60,intermediate smokers,low,healthy,35-50,South America,36ffd5ed7fb15713618fd0d4b64abdb9eb526447,LN9
116,M,United Kingdom,0,primary,20-30,intermediate smokers,high,healthy,19-34,North America,18643c5bd4a8cb52c6f72c8b6affe1bbfe331e37,NE8P
117,M,United Kingdom,0,bachelor,20-30,heavy smokers,high,healthy,19-34,Europe,9eefb0f722e73a29c496df614e537d10598b3e1c,NR06
118,M,United Kingdom,0,secondary,30-40,heavy smokers,high,overweight,2-18,Asia,77d57f47d53309e2e344c0a9d7781f7ecc8554a9,BB95
119,F,United Kingdom,0,bachelor,20-30,heavy smokers,low,underweight,19-34,South America,7d1368d1b2fbc624f2f1a4a3b099c6776759c83a,CH7Y
120,M,United Kingdom,0,bachelor,30-40,light smokers,moderate,underweight,35-50,Asia,f9c83923e55a03302199b1c4caa4370817b79e07,HA0
121,F,United Kingdom,0,primary,50-60,heavy smokers,low,underweight,35-50,Asia,7e37fec827d65eccb0f6743eead5daacb2abe77e,SP78
122,F,United Kingdom,0,masters,20-30,heavy smokers,high,underweight,19-34,Africa,5d5b80671901b7b9ce881f1ef2d50f3c0414681e,CA2W
123,M,United Kingdom,0,secondary,40-50,intermediate smokers,low,overweight,2-18,Antarctica,5fa43965315f97c0de9bd6c5710a3a5e0d8a10e4,HG3X
124,F,United Kingdom,0,secondary,50-60,heavy smokers,high,overweight,19-34,Asia,1e2d7c6ecb1926f361a1b168dd34b83f9a8cf569,M04
125,F,United Kingdom,1,other,40-50,intermediate smokers,low,overweight,2-18,South America,9e3830984d2872b1b12faca611a2616bda6d8d09,G5
126,F,United Kingdom,0,secondary,60-70,intermediate smokers,high,overweight,2-18,Europe,c74b22156d0c80f11de12e9f1fcee13dd3f97811,SL6W
127,F,United Kingdom,0,primary,50-60,heavy smokers,low,healthy,19-34,South America,aa43ac67a7d6184463e8dd9aeaae950dd3ba4018,NE6
128,M,United Kingdom,0,bachelor,30-40,intermediate smokers,high,healthy,35-50,Oceania,3d3aa1717382d3f36ffe0dbae4ad56ff7862c3d2,S8
129,M,United Kingdom,0,masters,40-50,heavy smokers,moderate,overweight,35-50,Europe,ec18af4907b8462835109aaa9657d1d1f564749f,W2H
130,M,United Kingdom,0,secondary,50-60,heavy smokers,high,healthy,35-50,Asia,8a5d3d132b55737b0eef21b11030e701f84055eb,LN19
131,M,United Kingdom,0,bachelor,20-30,heavy smokers,low,overweight,19-34,Africa,06199cc689d533f0a3e776e047924b870d38d400,SY7P
132,F,United Kingdom,0,bachelor,30-40,heavy smokers,low,healthy,19-34,Oceania,109d0ace40e8cddd549696f9bae63b76d9a4866d,HR3R
133,M,United Kingdom,0,bachelor,60-70,heavy smokers,high,healthy,19-34,Africa,d8140c8c8b1ad753cbc55da74ef01dfbef2c994e,G7D
134,F,United Kingdom,0,secondary,40-50,heavy smokers,high,underweight,19-34,Europe,58ddca53ef41afb87d746740f18a377565dedce6,ZE4P
135,F,United Kingdom,0,other,40-50,heavy smokers,high,underweight,2-18,Asia,be6c28b218cbd323fa6cab6a19e01c5f3785de7b,DT31
136,F,United Kingdom,0,secondary,40-50,intermediate smokers,moderate,healthy,2-18,Asia,237f5f8ae8d891b636909c9c844f8c9acaa6bd04,M38
137,M,United Kingdom,0,secondary,30-40,light smokers,low,healthy,2-18,Africa,0c3a2e2ba452a44259cb379f71aa298d51383306,E8
138,F,United Kingdom,0,secondary,20-30,heavy smokers,moderate,overweight,35-50,North America,4a2ac4e9c08695db6c696221a7f2ed99f113ca50,AL6E
139,F,United Kingdom,0,bachelor,40-50,heavy smokers,moderate,overweight,35-50,South America,264abf4e70db53bea9bf145b57b5486070b1dc49,LL4P
140,M,United Kingdom,0,secondary,50-60,heavy smokers,high,healthy,35-50,South America,7f0d0a2332b6233637b6df476450aa454643be9d,SR1W
141,F,United Kingdom,0,masters,20-30,heavy smokers,high,underweight,2-18,Europe,7cbbb5d82e99413864478f240df9ea87602bb9a9,ZE3Y
142,F,United Kingdom,0,other,30-40,intermediate smokers,low,healthy,2-18,Asia,27723c2983f8efb691d6c52801be7baa86f52e9e,W4D
143,M,United Kingdom,0,primary,30-40,heavy smokers,high,healthy,35-50,Antarctica,8cfac7ef8df77ca45e761f3343a62c846e81202c,WF07
144,F,United Kingdom,0,masters,30-40,heavy smokers,low,overweight,35-50,Oceania,4df7088612e9383778e8f5c50bee6b6f149cdd27,CO8
145,F,United Kingdom,0,secondary,60-70,light smokers,high,underweight,2-18,Asia,cb4969df6ddefcbe864c31ecea2aabe4116c0cb4,S5
146,F,United Kingdom,0,primary,60-70,heavy smokers,high,healthy,2-18,Africa,ead53c1c33bbd6cd8331082763cfda54cc8dac70,L8
147,M,United Kingdom,0,secondary,20-30,heavy smokers,low,healthy,19-34,Oceania,8e6e4df85dec076f94cb2d2b8ac3ac87ac307684,DH8M
148,F,United Kingdom,0,secondary,40-50,intermediate smokers,moderate,overweight,2-18,Africa,8c7426ec51318cc113cf6446672ed2c655b0ef4d,BD0
149,F,United Kingdom,0,secondary,50-60,heavy smokers,low,overweight,35-50,North America,604e24b8d608492247f5828f97565ba55e9553b8,S6
150,M,United Kingdom,0,secondary,50-60,light smokers,low,underweight,35-50,Asia,e716e50bf6ae3ac1587c76168c151e846b72ff42,M5
151,F,United Kingdom,0,other,20-30,heavy smokers,moderate,overweight,2-18,Europe,2c25afa04eddec484cc81b1c314e43c15abd9507,L86
152,F,United Kingdom,0,masters,40-50,intermediate smokers,low,healthy,2-18,Africa,f2a7d598fc84e765c68da13db455630f1dc1c654,PO4P
153,F,United Kingdom,0,secondary,50-60,heavy smokers,high,underweight,19-34,Africa,baec9d4ca0772c2659800cd0975c4c2daf84f68e,SG2
154,F,United Kingdom,0,other,50-60,intermediate smokers,moderate,underweight,35-50,Europe,3820c7e44fe6045e9e48282ed16eb0a81a4fca27,EH8
155,F,United Kingdom,0,secondary,20-30,heavy smokers,low,overweight,19-34,Asia,41701e06b1f8fdb7398f5ced53675d98a493e361,SM17
156,F,United Kingdom,0,bachelor,50-60,intermediate smokers,moderate,healthy,19-34,Africa,4d71727314e16c94f30e260946232464fdb992d1,G4F
157,M,United Kingdom,0,primary,20-30,heavy smokers,low,underweight,2-18,Asia,c1ba05ff951472d6007d7f5966615110e1bf1676,ME4N
158,M,United Kingdom,0,other,40-50,heavy smokers,,healthy,19-34,Africa,b3d91ca28c26432570b43afe5221bfe0ab90c5ff,EH5Y
159,M,United Kingdom,0,phD,60-70,heavy smokers,moderate,healthy,35-50,Asia,c20fe7ce34fd860aad423f77a176bf27e679374a,E36
160,M,United Kingdom,0,bachelor,50-60,heavy smokers,low,underweight,19-34,Europe,e3ea847e97c0f5cf81a1c340ba38ca3239597efa,SA8N
161,F,United Kingdom,0,secondary,30-40,heavy smokers,low,underweight,19-34,Oceania,eb33ae78e75c3cd2f5645cda2050a81282150012,NE3E
162,F,United Kingdom,0,bachelor,<20,heavy smokers,high,overweight,2-18,Africa,13e50089bb9654de13dfa0a29d17966aeed25148,M5T
163,M,United Kingdom,0,secondary,60-70,heavy smokers,moderate,overweight,19-34,Europe,745575f276b4401c742aa2934de6b5d1260311fe,TN4
164,F,United Kingdom,0,other,40-50,light smokers,low,healthy,19-34,Africa,89601a1420e3325824d0f35ac2b06470aa6d47f0,LL47
165,F,United Kingdom,0,secondary,40-50,heavy smokers,low,overweight,35-50,Africa,f6fa31ad5eb722d35696ce745182c51ddc94c468,W9
166,F,United Kingdom,0,masters,60-70,heavy smokers,low,healthy,2-18,Europe,11e5effdc652c7eba99c925e78744df2d515edd7,G71
167,M,United Kingdom,0,primary,50-60,heavy smokers,high,healthy,2-18,Oceania,83f052f2430ba89b0f8fe121b06ac91bd629ff51,B6F
168,M,United Kingdom,0,other,40-50,intermediate smokers,high,overweight,19-34,Africa,08fc36418d940c698d3e8f21908d94572e1a7786,S00
169,F,United Kingdom,0,secondary,40-50,heavy smokers,low,healthy,35-50,North America,73cf04107e833f531e57cc05d9bc4e7c29e2fcc8,N5
170,M,United Kingdom,1,other,20-30,heavy smokers,high,overweight,35-50,Europe,e5c891c0a30b8117a5f085edf355d4dccf897b41,N47
171,M,United Kingdom,0,phD,50-60,intermediate smokers,moderate,overweight,19-34,Oceania,7ddd28a9af4141e1c39c5928d5c16339cce91696,SE93
172,M,United Kingdom,0,masters,30-40,intermediate smokers,moderate,healthy,2-18,Asia,634b248ac5694e0e2dabba4df4bc4bf49570b1c8,DD2
173,M,United Kingdom,0,secondary,60-70,heavy smokers,low,overweight,2-18,Europe,75928850cf89c22ff44b6fe9cf105dc34cfcb625,AL4
174,M,United Kingdom,0,secondary,20-30,intermediate smokers,high,healthy,2-18,Asia,53d463b99247561d58f2b844f11788da93c3f34b,M74
175,M,United Kingdom,0,bachelor,40-50,heavy smokers,high,overweight,35-50,Europe,fa74f1679b18311dcb21a3e6a124deeb2c865514,G0B
176,F,United Kingdom,0,masters,20-30,heavy smokers,low,overweight,19-34,Africa,d24751be6d3d51f226a1e0b37723ec16dfa68ada,W5S
177,M,United Kingdom,0,other,20-30,intermediate smokers,high,overweight,19-34,Asia,4f93c6daac46788f6c15d3e6b107ccbdf7828bc7,L3F
178,M,United Kingdom,0,masters,50-60,heavy smokers,low,overweight,35-50,North America,4af4127a80c13b13a195d6b5649d23632a5c2946,M6
179,M,United Kingdom,0,secondary,60-70,light smokers,high,healthy,2-18,South America,209b2ba23a0874d259a8149ab1e0169d195107f0,CB3
180,M,United Kingdom,0,bachelor,40-50,heavy smokers,high,healthy,35-50,North America,e54ac6305c364c01d54f4c2658e1cd59b8fbeda0,GY1R
181,F,United Kingdom,0,bachelor,50-60,heavy smokers,low,overweight,2-18,South America,31e89086ef129f91339e43ce21b9659f5e30565e,AB4
182,F,United Kingdom,0,other,40-50,heavy smokers,moderate,underweight,35-50,Asia,c022cd227e67e02a3ab88af0303b56b54da3773f,S4
183,M,United Kingdom,0,bachelor,50-60,heavy smokers,low,underweight,19-34,Oceania,4042a9591e543ad2812355445a11a2b57824eb8f,PL46
184,F,United Kingdom,0,secondary,50-60,heavy smokers,moderate,healthy,19-34,Africa,e4b0b462b6273f51944aea4dceb1505121fece45,ME9E
185,M,United Kingdom,0,secondary,30-40,heavy smokers,high,overweight,19-34,Europe,00e863ed820358ace07cfeaff123e30126566cb6,E44
186,F,United Kingdom,0,masters,50-60,heavy smokers,moderate,overweight,35-50,Oceania,e604e851863f72ed19e0b56d7e8fb9e00613937d,S6
187,M,United Kingdom,0,other,20-30,heavy smokers,high,overweight,2-18,North America,284d2c1d43a9a173d9fc47bebbcb06c8a4e7297c,M7D
